Index,Weight(Pounds)
445,134.7804
446,146.0725
447,162.4109
448,130.1885
449,132.1941
450,127.4591
451,125.3466
452,134.7559
453,121.9395
454,125.6688
455,145.956
456,119.9207
457,111.5093
458,138.676
459,135.0151
460,116.509
461,123.9575
462,136.952
463,153.0797
464,126.357
465,145.0614
466,135.1739
467,108.806
468,110.5155
469,138.2685
470,119.5111
471,115.3214
472,132.3684
473,93.99438
474,127.4051
475,134.3024
476,124.9721
477,124.072
478,133.5476
479,134.1509
480,130.2489
481,138.0935
482,126.6064
483,131.8076
484,131.7363
485,117.6261
486,126.1943
487,127.5132
488,142.4785
489,139.444
490,110.3204
491,131.9541
492,129.2037
493,124.3513
494,126.5251
495,149.2303
496,142.1577
497,127.1436
498,122.3353
499,112.6659
500,134.2647
501,120.6936
502,115.783
503,128.6855
504,134.7611
505,118.3419
506,106.1557
507,126.3823
508,114.3716
509,130.2787
510,123.3066
511,122.8571
512,125.6932
513,111.7247
514,125.5516
515,119.9702
516,132.6043
517,132.6738
518,117.4521
519,101.8549
520,128.4418
521,134.0414
522,127.7511
523,127.6172
524,139.3971
525,113.9381
526,147.5188
527,132.6523
528,132.8139
529,105.0942
530,127.5187
531,130.7305
532,128.5815
533,122.5699
534,157.2961
535,121.1097
536,147.5061
537,117.493
538,132.4472
539,118.1774
540,123.7319
541,130.365
542,122.8882
543,107.8693
544,118.591
545,125.6467
546,148.6016
547,150.279
548,127.0678
549,128.7122
550,118.4233
551,125.3879
552,149.2676
553,107.3484
554,133.6992
555,124.8508
556,112.7028
557,127.8407
558,134.1615
559,138.6031
560,126.044
561,129.5856
562,134.1054
563,106.1251
564,127.0561
565,121.9241
566,150.7365
567,116.0061
568,125.4748
569,131.6099
570,129.0696
571,129.1117
572,148.1624
573,105.388
574,110.5447
575,118.6402
576,122.8151
577,124.887
578,135.7695
579,116.4563
580,125.3617
581,133.122
582,138.3328
583,124.4972
584,136.7205
585,115.0153
586,132.6366
587,143.1323
588,134.7422
589,122.6246
590,153.5634
591,126.289
592,134.7206
593,134.5987
594,118.3945
595,121.2997
596,132.2844
597,139.0617
598,110.698
599,154.1073
600,124.1592
601,134.5173
602,138.2622
603,149.0801
604,127.0075
605,117.8222
606,148.9096
607,128.2151
608,129.6944
609,125.5674
610,128.7947
611,124.187
612,151.4167
613,106.9803
614,145.6221
615,121.5926
616,130.9386
617,135.6203
618,123.9315
619,131.9955
620,117.484
621,129.6577
622,122.3706
623,114.5867
624,116.5401
625,139.4307
626,123.4822
627,132.5492
628,143.4013
629,132.9429
630,98.8972
631,122.4342
632,104.6767
633,142.7847
634,130.9283
635,143.827
636,142.2832
637,107.9441
638,105.6891
639,125.4007
640,106.4195
641,118.5371
642,136.7836
643,145.9328
644,129.637
645,108.4955
646,121.2537
647,135.7399
648,137.5026
649,124.0052
650,128.8613
651,133.6811
652,106.5185
653,113.0398
654,125.9639
655,140.2945
656,143.229
657,145.8063
658,128.1697
659,134.1839
660,140.2166
661,146.3453
662,132.0784
663,122.13
664,131.4693
665,129.5167
666,125.7451
667,153.1384
668,124.5559
669,134.8225
670,115.3877
671,117.9618
672,124.5647
673,134.4043
674,129.3092
675,133.1423
676,147.3609
677,155.0132
678,126.2905
679,134.4605
680,134.0296
681,128.9248
682,123.0543
683,112.1788
684,111.7443
685,148.4615
686,136.7459
687,133.2068
688,116.8855
689,124.8542
690,121.5809
691,123.197
692,137.1255
693,121.4941
694,150.9398
695,142.3009
696,134.7527
697,133.5585
698,136.0895
699,95.20216
700,119.7404
701,152.9146
702,140.1991
703,145.2503
704,119.4855
705,123.512
706,110.6754
707,111.4951
708,139.4849
709,133.088
710,133.5196
711,112.7698
712,124.7975
713,123.4224
714,142.0921
715,116.2814
716,131.1256
717,131.2493
718,127.2422
719,122.4523
720,115.2431
721,126.9532
722,143.4439
723,125.377
724,109.0095
725,139.2411
726,102.182
727,144.3898
728,83.08527
729,145.3938
730,134.9267
731,134.678
732,111.4963
733,119.7951
734,95.70426
735,117.159
736,127.2356
737,144.9205
738,122.8464
739,134.19
740,124.9776
741,135.8441
742,120.8222
743,125.0174
744,133.5474
745,124.5583
746,135.9691
747,143.5738
748,130.5725
749,127.192
750,141.2372
751,107.4236
752,122.3234
753,111.6055
754,137.8915
755,142.8742
756,114.4349
757,128.2736
758,134.5725
759,140.1034
760,121.977
761,111.4248
762,135.0756
763,132.9826
764,117.7566
765,134.9877
766,151.6121
767,128.9287
768,120.1575
769,125.6007
770,127.8292
771,136.1354
772,116.2841
773,127.0777
774,125.7165
775,121.0749
776,122.7382
777,119.4545
778,132.9048
779,132.8687
780,124.3486
781,132.2198
782,142.804
783,129.605
784,128.5326
785,112.9919
786,122.0795
787,118.396
788,130.1299
789,111.6824
790,142.2452
791,122.6049
792,122.8198
793,119.1123
794,139.4335
795,141.3353
796,119.787
797,136.326
798,118.4099
799,137.692
800,129.078
801,123.4642
802,115.4311
803,129.931
804,135.9563
805,127.8134
806,139.1014
807,109.2132
808,124.6154
809,136.221
810,120.4722
811,116.1659
812,115.5093
813,141.9961
814,135.4869
815,135.1305
816,108.2494
817,125.1277
818,142.8947
819,128.2978
820,128.268
821,103.5665
822,156.1069
823,104.9661
824,121.6365
825,132.0066
826,118.4079
827,135.3898
828,140.6633
829,111.6703
830,128.0328
831,130.4737
832,128.2127
833,142.8202
834,123.0804
835,117.8771
836,130.9274
837,129.1735
838,144.5784
839,115.8635
840,116.5322
841,141.9947
842,132.1304
843,135.2607
844,127.0684
845,129.844
846,134.5066
847,121.3609
848,143.1486
849,124.7741
850,120.1546
851,139.4163
852,131.6743
853,131.07
854,129.8914
855,123.344
856,137.5314
857,136.8886
858,118.4024
859,116.2441
860,124.8433
861,120.9809
862,105.1208
863,145.4377
864,108.1912
865,130.3778
866,117.5157
867,135.8762
868,127.5126
869,151.3998
870,112.4799
871,156.7554
872,138.2098
873,109.5685
874,139.9742
875,124.5873
876,130.5023
877,151.0783
878,108.7722
879,105.9927
880,143.4301
881,114.7434
882,123.7736
883,139.4769
884,115.8201
885,146.5682
886,153.9993
887,137.5899
888,125.9287
889,139.6939
890,126.3585
891,113.9307
892,129.7605
893,116.1925
894,139.1294
895,126.9815
896,125.8352
897,113.524
898,123.2372
899,123.0554
900,128.133
901,127.9357
902,110.4678
903,127.9364
904,118.1678
905,129.7243
906,130.6094
907,105.0414
908,122.6299
909,138.3259
910,107.7381
911,141.4417
912,153.6966
913,134.5551
914,109.6593
915,117.2029
916,124.2843
917,125.2193
918,133.2256
919,122.6042
920,134.8652
921,111.4506
922,116.8458
923,143.1527
924,99.92383
925,127.9232
926,136.658
927,145.3947
928,126.6818
929,128.1983
930,122.8328
931,133.2571
932,116.7606
933,144.0455
934,132.5153
935,123.9832
936,113.1423
937,123.9512
938,133.9787
939,128.1519
940,121.2878
941,122.7107
942,125.4136
943,124.8761
944,116.5903
945,129.889
946,123.889
947,137.6571
948,130.8805
949,141.9706
950,125.7334
951,104.4108
952,117.0685
953,131.7669
954,125.4738
955,129.5734
956,130.1053
957,131.9305
958,142.4645
959,127.6431
960,153.3153
961,126.7609
962,114.0258
963,133.9684
964,127.5869
965,126.4859
966,120.7651
967,126.6479
968,133.0747
969,125.9649
970,121.3206
971,129.7824
972,130.0549
973,123.4005
974,137.2791
975,127.7554
976,133.6853
977,113.9275
978,135.6168
979,122.6005
980,118.9472
981,134.2703
982,124.2747
983,130.6981
984,124.6797
985,129.0839
986,121.9456
987,126.2689
988,134.6122
989,131.8476
990,103.5828
991,116.3925
992,123.5095
993,150.3395
994,135.2437
995,112.4584
996,137.4861
997,132.7902
998,126.0286
999,141.3591
1000,135.9065
1001,134.6655
1002,122.0232
1003,128.3502
1004,130.6354
1005,131.717
1006,108.6132
1007,114.5673
1008,133.5136
1009,135.8641
1010,148.1093
1011,123.5179
1012,120.8406
1013,116.2666
1014,123.8986
1015,119.32
1016,119.4097
1017,124.5933
1018,130.8802
1019,118.2058
1020,109.6357
1021,140.2298
1022,121.5764
1023,98.30262
1024,117.6173
1025,136.5104
1026,148.9791
1027,123.9665
1028,133.5957
1029,117.2334
1030,123.5943
1031,117.7674
1032,137.2321
1033,129.1996
1034,142.4032
1035,128.4838
1036,115.3008
1037,119.5309
1038,121.7224
1039,142.8442
1040,110.1171
1041,122.0958
1042,124.8188
1043,119.3169
1044,132.4571
1045,133.0316
1046,160.8831
1047,119.127
1048,138.516
1049,124.8232
1050,135.9744
1051,116.2254
1052,139.2002
1053,137.983
1054,144.5084
1055,109.1938
1056,127.228
1057,124.5517
1058,114.926
1059,132.5027
1060,125.3892
1061,128.4988
1062,117.7319
1063,112.9531
1064,126.1835
1065,118.7934
1066,125.4388
1067,124.9451
1068,145.5139
1069,116.7836
1070,132.5216
1071,114.8933
1072,122.8594
1073,130.5782
1074,119.1058
1075,133.8204
1076,128.5779
1077,139.0179
1078,101.2876
1079,140.958
1080,134.6146
1081,129.9482
1082,139.064
1083,135.1996
1084,129.682
1085,129.1395
1086,129.0051
1087,112.7357
1088,126.1123
1089,118.3724
1090,122.9731
1091,130.3663
1092,114.226
1093,115.7854
1094,137.9526
1095,112.2435
1096,137.237
1097,124.9418
1098,135.0961
1099,114.4199
1100,122.1823
1101,129.375
1102,129.9448
1103,140.4557
1104,120.8977
1105,129.159
1106,137.1397
1107,145.2218
1108,140.0956
1109,124.12
1110,135.6875
1111,127.756
1112,144.0475
1113,131.9333
1114,135.5263
1115,151.3579
1116,124.7073
1117,135.274
1118,136.5388
1119,137.8778
1120,114.2066
1121,141.5844
1122,111.0969
1123,126.3868
1124,132.8885
1125,144.7904
1126,108.3859
1127,124.1348
1128,129.4462
1129,131.3339
1130,111.6411
1131,111.6422
1132,140.3178
1133,125.5286
1134,114.49
1135,113.998
1136,117.1931
1137,138.3156
1138,122.3712
1139,132.9431
1140,124.0449
1141,144.1591
1142,115.4581
1143,116.5192
1144,139.6139
1145,133.2364
1146,120.025
1147,123.1111
1148,132.8462
1149,120.9359
1150,129.7702
1151,136.9118
1152,131.121
1153,133.484
1154,136.3871
1155,131.4559
1156,126.1986
1157,115.046
1158,130.3178
1159,131.6954
1160,135.6519
1161,120.3029
1162,129.1442
1163,150.2167
1164,120.2076
1165,132.153
1166,132.1247
1167,119.5029
1168,136.7629
1169,147.7846
1170,145.5992
1171,124.9662
1172,127.902
1173,125.9147
1174,109.6821
1175,107.7733
1176,134.1099
1177,134.901
1178,139.6364
1179,127.0273
1180,134.7717
1181,99.97124
1182,129.4522
1183,129.3592
1184,103.6594
1185,115.7327
1186,104.8874
1187,131.0054
1188,129.0709
1189,102.5494
1190,133.2257
1191,146.3008
1192,140.8125
1193,132.4618
1194,118.8437
1195,133.4495
1196,134.882
1197,129.6789
1198,136.7318
1199,133.9981
1200,128.1324
1201,130.2482
1202,130.2934
1203,128.3208
1204,134.0501
1205,140.5808
1206,115.1936
1207,135.8445
1208,142.8508
1209,143.0931
1210,114.9519
1211,149.4261
1212,132.0558
1213,127.0174
1214,103.3615
1215,125.3216
1216,130.6423
1217,124.3662
1218,140.6019
1219,124.229
1220,132.9642
1221,130.2067
1222,106.6241
1223,108.9888
1224,109.9473
1225,124.363
1226,131.5021
1227,137.4264
1228,116.0228
1229,117.9061
1230,116.7259
1231,115.4633
1232,129.9734
1233,148.9128
1234,126.0818
1235,115.4952
1236,158.7833
1237,141.2064
1238,129.838
1239,137.0682
1240,123.2428
1241,117.9651
1242,102.4998
1243,130.6338
1244,144.6224
1245,100.1982
1246,120.2937
1247,144.3108
1248,114.8805
1249,141.5328
1250,114.6963
1251,121.6607
1252,119.3241
1253,135.206
1254,115.9409
1255,123.2264
1256,133.0619
1257,136.3442
1258,124.1401
1259,116.2944
1260,133.1669
1261,137.941
1262,133.3173
1263,114.2219
1264,137.6516
1265,131.5375
1266,137.2221
1267,135.1331
1268,113.9257
1269,132.5883
1270,133.5753
1271,106.7793
1272,95.18466
1273,114.2675
1274,126.4804
1275,126.7087
1276,110.9096
1277,132.3678
1278,133.7174
1279,144.0125
1280,129.9098
1281,106.5697
1282,121.9433
1283,118.1623
1284,106.6739
1285,128.444
1286,127.4595
1287,102.93
1288,127.8299
1289,139.7868
1290,133.2813
1291,120.2949
1292,102.4047
1293,134.2056
1294,121.4804
1295,108.2574
1296,145.8469
1297,114.9258
1298,124.6757
1299,113.619
1300,126.2651
1301,124.0382
1302,120.554
1303,124.4235
1304,130.1726
1305,137.2733
1306,126.9051
1307,118.2885
1308,119.6817
1309,134.332
1310,120.0364
1311,140.2713
1312,139.4025
1313,105.1086
1314,140.3289
1315,139.7691
1316,118.4896
1317,121.8301
1318,130.3482
1319,138.2214
1320,119.9847
1321,141.5275
1322,128.0746
1323,122.6639
1324,135.5841
1325,158.7993
1326,103.1971
1327,122.9332
1328,119.343
1329,139.5722
1330,124.1145
1331,132.5483
1332,116.0712
1333,162.8737
1334,131.1394
1335,124.8745
1336,123.738
1337,119.0115
1338,135.4606
1339,139.6563
1340,120.3449
1341,113.0404
1342,115.658
1343,128.6282
1344,96.52385
1345,122.6695
1346,129.3968
1347,128.8422
1348,133.0853
1349,130.1248
1350,138.9119
1351,138.9252
1352,105.9085
1353,135.4393
1354,147.3129
1355,108.7636
1356,128.9625
1357,147.7867
1358,128.5716
1359,127.4285
1360,128.9123
1361,123.3621
1362,122.0501
1363,159.6644
1364,121.5022
1365,124.3686
1366,130.5608
1367,117.7781
1368,147.1473
1369,128.6512
1370,115.6854
1371,104.102
1372,122.4406
1373,124.6131
1374,100.4089
1375,131.8038
1376,134.7575
1377,148.5516
1378,151.3435
1379,121.4032
1380,132.7138
1381,118.1243
1382,120.412
1383,141.4458
1384,129.0597
1385,129.3121
1386,148.5716
1387,112.319
1388,130.0932
1389,123.1712
1390,99.36058
1391,139.1404
1392,131.9771
1393,127.7025
1394,136.8449
1395,126.4916
1396,111.1847
1397,128.5255
1398,123.1419
1399,141.374
1400,127.0178
1401,118.0513
1402,115.3536
1403,136.9275
1404,126.5685
1405,129.216
1406,142.1694
1407,136.578
1408,121.962
1409,146.9053
1410,142.657
1411,140.2292
1412,109.8398
1413,134.8916
1414,127.6066
1415,108.9719
1416,138.4284
1417,151.4509
1418,130.0036
1419,113.0897
1420,129.1464
1421,133.1919
1422,124.866
1423,121.4815
1424,137.8631
1425,125.8314
1426,135.3299
1427,107.3931
1428,144.1915
1429,100.5991
1430,130.1721
1431,140.8988
1432,143.6734
1433,90.29334
1434,130.4148
1435,123.8754
1436,154.0757
1437,137.4948
1438,141.8174
1439,126.8401
1440,131.9545
1441,120.9803
1442,119.7816
1443,127.7472
1444,134.2469
1445,108.5235
1446,125.0611
1447,123.0197
1448,129.8861
1449,154.8178
1450,151.9248
1451,135.6969
1452,127.2047
1453,137.876
1454,124.4771
1455,154.6002
1456,134.0699
1457,117.4639
1458,128.3519
1459,118.1031
1460,127.8238
1461,129.914
1462,131.3221
1463,128.1544
1464,122.8347
1465,143.5868
1466,106.5681
1467,124.9457
1468,113.6761
1469,105.4988
1470,125.3804
1471,120.0159
1472,135.0513
1473,112.0501
1474,126.6445
1475,126.7371
1476,138.6844
1477,143.346
1478,124.6758
1479,119.2154
1480,129.5162
1481,141.2136
1482,124.9304
1483,117.6936
1484,128.117
1485,125.507
1486,139.9115
1487,132.5572
1488,129.5233
1489,139.3905
1490,121.712
1491,122.7607
1492,117.4026
1493,135.9146
1494,123.838
1495,102.8468
1496,119.3281
1497,104.4281
1498,129.2376
1499,138.2296
1500,138.6461
1501,130.4121
1502,124.4317
1503,127.9011
1504,125.2683
1505,121.1672
1506,128.1437
1507,121.494
1508,129.3746
1509,127.4765
1510,113.1406
1511,132.5812
1512,110.5741
1513,139.194
1514,128.757
1515,132.9714
1516,125.0153
1517,95.80713
1518,152.9084
1519,121.217
1520,127.448
1521,120.2754
1522,127.4945
1523,111.026
1524,153.5447
1525,110.9415
1526,121.0967
1527,123.5086
1528,116.363
1529,134.9384
1530,113.8451
1531,113.0531
1532,127.5692
1533,125.1506
1534,115.4493
1535,138.9409
1536,133.292
1537,130.5079
1538,114.2578
1539,137.6167
1540,114.5218
1541,139.4884
1542,124.6962
1543,130.045
1544,141.782
1545,125.4556
1546,119.1796
1547,107.0361
1548,125.3591
1549,115.7565
1550,128.7986
1551,129.3747
1552,145.662
1553,123.6062
1554,124.6278
1555,122.7439
1556,120.2892
1557,128.6295
1558,111.5271
1559,117.7437
1560,109.4645
1561,132.9405
1562,124.1881
1563,136.8094
1564,143.1901
1565,117.3002
1566,130.8166
1567,137.4417
1568,128.97
1569,114.6422
1570,138.4685
1571,123.19
1572,121.9934
1573,149.3778
1574,137.21
1575,138.6653
1576,118.8309
1577,116.7297
1578,131.5675
1579,129.5762
1580,131.4946
1581,125.1984
1582,131.8467
1583,121.0286
1584,121.8685
1585,147.9118
1586,130.6309
1587,139.9751
1588,126.6522
1589,116.7992
1590,132.4308
1591,130.6493
1592,132.6351
1593,124.4934
1594,129.6396
1595,131.2952
1596,121.3845
1597,116.8423
1598,143.4353
1599,140.0996
1600,127.1524
1601,116.4033
1602,145.5938
1603,136.0613
1604,126.2249
1605,130.9905
1606,131.7105
1607,125.1818
1608,147.0456
1609,109.3503
1610,120.7578
1611,112.4772
1612,138.4517
1613,136.7186
1614,136.0144
1615,148.7104
1616,120.4476
1617,133.5431
1618,140.0484
1619,129.0091
1620,121.0921
1621,125.6694
1622,117.6691
1623,133.959
1624,121.968
1625,135.3754
1626,111.6269
1627,117.3099
1628,131.75
1629,130.3517
1630,124.7463
1631,127.5476
1632,118.5713
1633,118.7344
1634,117.239
1635,127.4872
1636,128.9596
1637,147.7036
1638,132.158
1639,129.6624
1640,142.583
1641,123.1966
1642,114.619
1643,134.1679
1644,129.3978
1645,133.0797
1646,130.0722
1647,139.2852
1648,131.5521
1649,135.3276
1650,130.5668
1651,144.8947
1652,121.8662
1653,110.649
1654,150.0971
1655,123.8581
1656,128.4226
1657,125.197
1658,129.7427
1659,125.7215
1660,132.001
1661,140.054
1662,114.1178
1663,116.1322
1664,117.7071
1665,131.2855
1666,113.6105
1667,144.7629
1668,141.6047
1669,140.0213
1670,108.4237
1671,117.2512
1672,126.77
1673,135.074
1674,132.0189
1675,109.2101
1676,127.8589
1677,122.0737
1678,137.6851
1679,127.5918
1680,111.5819
1681,121.3966
1682,138.8427
1683,116.5048
1684,137.4424
1685,121.9768
1686,116.8105
1687,126.0482
1688,114.7284
1689,126.7487
1690,131.342
1691,119.0926
1692,137.8646
1693,129.5914
1694,128.105
1695,137.4504
1696,129.6324
1697,133.4823
1698,124.7911
1699,113.9428
1700,116.8399
1701,138.7521
1702,125.4607
1703,130.5948
1704,134.2699
1705,143.4724
1706,142.254
1707,139.8464
1708,132.4897
1709,138.5529
1710,123.1153
1711,132.6998
1712,106.6149
1713,134.9917
1714,130.92
1715,122.4887
1716,136.0645
1717,119.5334
1718,117.7405
1719,115.5734
1720,104.7006
1721,123.6592
1722,138.5289
1723,132.2257
1724,117.2914
1725,141.6933
1726,129.6313
1727,94.51219
1728,120.6412
1729,121.3762
1730,133.2667
1731,127.9032
1732,123.3962
1733,136.9675
1734,114.1357
1735,118.0845
1736,121.8608
1737,145.5199
1738,128.9862
1739,110.4729
1740,126.9126
1741,141.1132
1742,138.183
1743,132.6335
1744,127.2025
1745,146.2561
1746,141.6517
1747,126.5209
1748,121.554
1749,116.5904
1750,139.0275
1751,116.2031
1752,115.7431
1753,116.8138
1754,138.6574
1755,108.5229
1756,133.6747
1757,128.0916
1758,128.6687
1759,115.4484
1760,125.0018
1761,136.4816
1762,121.9301
1763,126.8874
1764,119.9595
1765,142.2743
1766,129.9792
1767,131.1604
1768,128.8601
1769,111.9433
1770,132.3867
1771,134.2844
1772,127.6919
1773,114.5415
1774,138.1499
1775,140.358
1776,125.9099
1777,134.4383
1778,136.6572
1779,123.5248
1780,130.345
1781,149.8413
1782,115.5647
1783,109.6661
1784,108.8823
1785,112.3914
1786,130.0139
1787,136.8066
1788,111.1892
1789,119.3179
1790,120.1224
1791,124.093
1792,117.8442
1793,142.1545
1794,122.3342
1795,115.7081
1796,136.5833
1797,120.5965
1798,121.269
1799,133.5937
1800,127.541
1801,139.1153
1802,140.4052
1803,124.3543
1804,136.9707
1805,136.9799
1806,129.9913
1807,113.6199
1808,127.6126
1809,117.966
1810,127.2407
1811,123.8412
1812,121.2687
1813,118.5378
1814,115.4182
1815,131.2651
1816,110.3212
1817,129.2128
1818,140.8802
1819,121.1068
1820,134.4281
1821,116.2489
1822,117.8009
1823,126.455
1824,137.1076
1825,152.1776
1826,128.6175
1827,113.9725
1828,105.9582
1829,134.3052
1830,132.4565
1831,134.3756
1832,146.8833
1833,131.2724
1834,132.9619
1835,140.4684
1836,144.838
1837,129.261
1838,138.036
1839,125.5747
1840,129.4743
1841,129.4677
1842,105.1944
1843,125.2679
1844,128.237
1845,123.3362
1846,110.8623
1847,114.4586
1848,137.2435
1849,125.8706
1850,140.8451
1851,131.2554
1852,140.12
1853,138.8613
1854,117.374
1855,109.9978
1856,129.4122
1857,135.1643
1858,108.1378
1859,146.3046
1860,127.6499
1861,133.5096
1862,124.8396
1863,123.4209
1864,125.1731
1865,116.5013
1866,124.5635
1867,132.8562
1868,124.2136
1869,137.6254
1870,112.2365
1871,117.92
1872,107.1366
1873,127.8631
1874,119.5914
1875,129.7663
1876,126.2753
1877,120.6916
1878,147.2496
1879,123.8089
1880,124.9097
1881,129.2576
1882,133.2142
1883,134.9818
1884,115.4612
1885,114.2201
1886,126.4372
1887,121.5315
1888,137.3384
1889,130.1496
1890,149.3463
1891,131.8088
1892,124.5172
1893,124.094
1894,146.9701
1895,135.8346
